x,phi
0.000000,4.290858
0.005000,-98.648152
0.010000,-4.397686
0.015000,100.523868
0.020000,4.511537
0.025000,-102.388101
0.030000,-4.631965
0.035000,104.233483
0.040000,4.758496
0.045000,-106.052714
0.050000,-4.890635
0.055000,107.838592
0.060000,5.027865
0.065000,-109.584037
0.070000,-5.169649
0.075000,111.282118
0.080000,5.315432
0.085000,-112.926081
0.090000,-5.464646
0.095000,114.509370
0.100000,5.616708
0.105000,-116.025655
0.110000,-5.771026
0.115000,117.468850
0.120000,5.927000
0.125000,-118.833140
0.130000,-6.079762
0.135000,120.126748
0.140000,6.265284
0.145000,-121.260260
0.150000,-6.315274
0.155000,122.528695
0.160000,6.714744
0.165000,-123.200795
0.170000,-6.443049
0.175000,124.632778
0.180000,7.241355
0.185000,-124.662135
0.190000,-6.503740
0.195000,126.359435
0.200000,7.786193
0.205000,-125.675546
0.210000,-6.552507
0.215000,127.624613
0.220000,8.283204
0.225000,-126.282427
0.230000,-6.644313
0.235000,128.355307
0.240000,8.674505
0.245000,-126.519581
0.250000,-6.819312
0.255000,128.503929
0.260000,8.923710
0.265000,-126.407242
0.270000,-7.091950
0.275000,128.058035
0.280000,9.024006
0.285000,-125.942848
0.290000,-7.446505
0.295000,127.043022
0.300000,8.998997
0.305000,-125.102145
0.310000,-7.840181
0.315000,125.517156
0.320000,8.896113
0.325000,-123.847323
0.330000,-8.213002
0.335000,123.560120
0.340000,8.774247
0.345000,-122.140145
0.350000,-8.502074
0.355000,121.257866
0.360000,8.688667
0.365000,-119.956747
0.370000,-8.656695
0.375000,118.687443
0.380000,8.672707
0.385000,-117.314102
0.390000,-8.674386
0.395000,115.862494
0.400000,8.666022
0.405000,-114.338464
0.410000,-8.647680
0.415000,112.748124
0.420000,8.619460
0.425000,-111.097831
0.430000,-8.581499
0.435000,109.394160
0.440000,8.533966
0.445000,-107.643889
0.450000,-8.477068
0.455000,105.853962
0.460000,8.411042
0.465000,-104.031475
0.470000,-8.336164
0.475000,102.183643
0.480000,8.252739
0.485000,-100.317771
0.490000,-8.161104
0.495000,98.441235
0.500000,8.061628
0.505000,-96.561444
0.510000,-7.954709
0.515000,94.685819
0.520000,7.840773
0.525000,-92.821762
0.530000,-7.720273
0.535000,90.976624
0.540000,7.593686
0.545000,-89.157685
0.550000,-7.461512
0.555000,87.372116
0.560000,7.324275
0.565000,-85.626960
0.570000,-7.182515
0.575000,83.929099
0.580000,7.036793
0.585000,-82.285226
0.590000,-6.887682
0.595000,80.701824
0.600000,6.735770
0.605000,-79.185139
0.610000,-6.581656
0.615000,77.741151
0.620000,6.425947
0.625000,-76.375557
0.630000,-6.269256
0.635000,75.093741
0.640000,6.112201
0.645000,-73.900763
0.650000,-5.955401
0.655000,72.801327
0.660000,5.799474
0.665000,-71.799772
0.670000,-5.645033
0.675000,70.900051
0.680000,5.492689
0.685000,-70.105713
0.690000,-5.343041
0.695000,69.419894
0.700000,5.196681
0.705000,-68.845300
0.710000,-5.054185
0.715000,68.384200
0.720000,4.916115
0.725000,-68.038414
0.730000,-4.783016
0.735000,67.809307
0.740000,4.655414
0.745000,-67.697782
0.750000,-4.533812
0.755000,67.704282
0.760000,4.418690
0.765000,-67.828779
0.770000,-4.310503
0.775000,68.070783
0.780000,4.209677
0.785000,-68.429338
0.790000,-4.116611
0.795000,68.903029
0.800000,4.031673
0.805000,-69.489986
0.810000,-3.955197
0.815000,70.187893
0.820000,3.887486
0.825000,-70.993994
0.830000,-3.828807
0.835000,71.905109
0.840000,3.779391
0.845000,-72.917642
0.850000,-3.739433
0.855000,74.027598
0.860000,3.709091
0.865000,-75.230597
0.870000,-3.688485
0.875000,76.521892
0.880000,3.677696
0.885000,-77.896391
0.890000,-3.676766
0.895000,79.348671
0.900000,3.685698
0.905000,-80.873004
0.910000,-3.704458
0.915000,82.463378
0.920000,3.732970
0.925000,-84.113521
0.930000,-3.771122
0.935000,85.816925
0.940000,3.818763
0.945000,-87.566875
0.950000,-3.875706
0.955000,89.356468
0.960000,3.941726
0.965000,-91.178647
0.970000,-4.016562
0.975000,93.026227
0.980000,4.099921
0.985000,-94.891918
0.990000,-4.191472
0.995000,96.768362
1.000000,4.290858
