M,theta,beta_lower,beta_upper
2.5000,0.0000,23.5782,90.0000
2.5000,1.0000,24.3031,89.5713
2.5000,2.0000,25.0496,89.1418
2.5000,3.0000,25.8181,88.7107
2.5000,4.0000,26.6090,88.2773
2.5000,5.0000,27.4227,87.8406
2.5000,6.0000,28.2596,87.3998
2.5000,7.0000,29.1203,86.9540
2.5000,8.0000,30.0053,86.5021
2.5000,9.0000,30.9151,86.0432
2.5000,10.0000,31.8506,85.5761
2.5000,11.0000,32.8124,85.0995
2.5000,12.0000,33.8016,84.6120
2.5000,13.0000,34.8191,84.1120
2.5000,14.0000,35.8664,83.5978
2.5000,15.0000,36.9449,83.0673
2.5000,16.0000,38.0566,82.5182
2.5000,17.0000,39.2037,81.9476
2.5000,18.0000,40.3891,81.3522
2.5000,19.0000,41.6164,80.7279
2.5000,20.0000,42.8902,80.0698
2.5000,21.0000,44.2161,79.3716
2.5000,22.0000,45.6021,78.6251
2.5000,23.0000,47.0584,77.8193
2.5000,24.0000,48.5997,76.9393
2.5000,25.0000,50.2478,75.9630
2.5000,26.0000,52.0365,74.8559
2.5000,27.0000,54.0252,73.5584
2.5000,28.0000,56.3349,71.9490
2.5000,29.0000,59.3112,69.6817
3.5000,0.0000,16.6015,90.0000
3.5000,1.0000,17.2673,89.6933
3.5000,2.0000,17.9581,89.3861
3.5000,3.0000,18.6741,89.0781
3.5000,4.0000,19.4151,88.7689
3.5000,5.0000,20.1813,88.4580
3.5000,6.0000,20.9724,88.1449
3.5000,7.0000,21.7884,87.8292
3.5000,8.0000,22.6292,87.5105
3.5000,9.0000,23.4944,87.1882
3.5000,10.0000,24.3840,86.8617
3.5000,11.0000,25.2978,86.5306
3.5000,12.0000,26.2355,86.1941
3.5000,13.0000,27.1971,85.8517
3.5000,14.0000,28.1824,85.5026
3.5000,15.0000,29.1916,85.1460
3.5000,16.0000,30.2247,84.7810
3.5000,17.0000,31.2818,84.4067
3.5000,18.0000,32.3634,84.0220
3.5000,19.0000,33.4700,83.6256
3.5000,20.0000,34.6022,83.2163
3.5000,21.0000,35.7609,82.7923
3.5000,22.0000,36.9474,82.3519
3.5000,23.0000,38.1631,81.8928
3.5000,24.0000,39.4102,81.4125
3.5000,25.0000,40.6910,80.9080
3.5000,26.0000,42.0089,80.3754
3.5000,27.0000,43.3679,79.8102
3.5000,28.0000,44.7735,79.2065
3.5000,29.0000,46.2327,78.5567
3.5000,30.0000,47.7554,77.8506
3.5000,31.0000,49.3552,77.0741
3.5000,32.0000,51.0523,76.2067
3.5000,33.0000,52.8782,75.2165
3.5000,34.0000,54.8875,74.0486
3.5000,35.0000,57.1903,72.5926
3.5000,36.0000,60.0902,70.5445
4.5000,0.0000,12.8396,90.0000
4.5000,1.0000,13.4859,89.7376
4.5000,2.0000,14.1625,89.4749
4.5000,3.0000,14.8693,89.2116
4.5000,4.0000,15.6060,88.9473
4.5000,5.0000,16.3721,88.6817
4.5000,6.0000,17.1673,88.4145
4.5000,7.0000,17.9907,88.1453
4.5000,8.0000,18.8416,87.8738
4.5000,9.0000,19.7193,87.5996
4.5000,10.0000,20.6230,87.3223
4.5000,11.0000,21.5518,87.0414
4.5000,12.0000,22.5050,86.7566
4.5000,13.0000,23.4818,86.4674
4.5000,14.0000,24.4815,86.1732
4.5000,15.0000,25.5036,85.8735
4.5000,16.0000,26.5475,85.5677
4.5000,17.0000,27.6129,85.2552
4.5000,18.0000,28.6995,84.9352
4.5000,19.0000,29.8071,84.6068
4.5000,20.0000,30.9357,84.2694
4.5000,21.0000,32.0856,83.9217
4.5000,22.0000,33.2570,83.5628
4.5000,23.0000,34.4506,83.1913
4.5000,24.0000,35.6671,82.8057
4.5000,25.0000,36.9077,82.4043
4.5000,26.0000,38.1737,81.9852
4.5000,27.0000,39.4671,81.5459
4.5000,28.0000,40.7902,81.0836
4.5000,29.0000,42.1459,80.5949
4.5000,30.0000,43.5382,80.0755
4.5000,31.0000,44.9720,79.5200
4.5000,32.0000,46.4538,78.9215
4.5000,33.0000,47.9925,78.2709
4.5000,34.0000,49.6004,77.5555
4.5000,35.0000,51.2953,76.7573
4.5000,36.0000,53.1046,75.8486
4.5000,37.0000,55.0741,74.7832
4.5000,38.0000,57.2921,73.4729
4.5000,39.0000,59.9766,71.6993
4.5000,40.0000,64.3401,68.2497
5.5000,0.0000,10.4757,90.0000
5.5000,1.0000,11.1142,89.7589
5.5000,2.0000,11.7888,89.5176
5.5000,3.0000,12.4990,89.2757
5.5000,4.0000,13.2442,89.0330
5.5000,5.0000,14.0235,88.7891
5.5000,6.0000,14.8357,88.5439
5.5000,7.0000,15.6796,88.2969
5.5000,8.0000,16.5537,88.0479
5.5000,9.0000,17.4566,87.7966
5.5000,10.0000,18.3869,87.5426
5.5000,11.0000,19.3431,87.2856
5.5000,12.0000,20.3240,87.0251
5.5000,13.0000,21.3282,86.7608
5.5000,14.0000,22.3546,86.4923
5.5000,15.0000,23.4022,86.2191
5.5000,16.0000,24.4702,85.9407
5.5000,17.0000,25.5578,85.6566
5.5000,18.0000,26.6645,85.3661
5.5000,19.0000,27.7898,85.0686
5.5000,20.0000,28.9335,84.7634
5.5000,21.0000,30.0955,84.4497
5.5000,22.0000,31.2759,84.1266
5.5000,23.0000,32.4749,83.7932
5.5000,24.0000,33.6931,83.4481
5.5000,25.0000,34.9311,83.0903
5.5000,26.0000,36.1898,82.7180
5.5000,27.0000,37.4706,82.3297
5.5000,28.0000,38.7749,81.9232
5.5000,29.0000,40.1049,81.4962
5.5000,30.0000,41.4631,81.0456
5.5000,31.0000,42.8527,80.5678
5.5000,32.0000,44.2779,80.0586
5.5000,33.0000,45.7440,79.5121
5.5000,34.0000,47.2581,78.9211
5.5000,35.0000,48.8297,78.2758
5.5000,36.0000,50.4722,77.5626
5.5000,37.0000,52.2052,76.7617
5.5000,38.0000,54.0595,75.8421
5.5000,39.0000,56.0881,74.7507
5.5000,40.0000,58.3979,73.3802
5.5000,41.0000,61.2847,71.4350
6.5000,0.0000,8.8499,90.0000
6.5000,1.0000,9.4855,89.7709
6.5000,2.0000,10.1629,89.5415
6.5000,3.0000,10.8816,89.3116
6.5000,4.0000,11.6402,89.0809
6.5000,5.0000,12.4373,88.8492
6.5000,6.0000,13.2710,88.6163
6.5000,7.0000,14.1392,88.3817
6.5000,8.0000,15.0397,88.1453
